SYMBOLS,Sector,,,,,,,,
COALINDIA.NS,Mining / Minerals / Metals,,,,,,,,
HINDCOPPER.NS,Mining / Minerals / Metals,,,,,,,,
NMDC.NS,Mining / Minerals / Metals,,,,,,,,
VEDL.NS,Mining / Minerals / Metals,,,,,,,,
DELTACORP.NS,Miscellaneous,,,,,,,,
INDIAMART.NS,Miscellaneous,,,,,,,,
MCX.NS,Miscellaneous,,,,,,,,
PETRONET.NS,Miscellaneous,,,,,,,,
GSPL.NS,Oil Drilling / Allied Services,,,,,,,,
GUJGASLTD.NS,Oil Drilling / Allied Services,,,,,,,,
IGL.NS,Oil Drilling / Allied Services,,,,,,,,
MGL.NS,Oil Drilling / Allied Services,,,,,,,,
ONGC.NS,Oil Drilling / Allied Services,,,,,,,,
ASIANPAINT.NS,Paints / Varnishes,,,,,,,,
BERGEPAINT.NS,Paints / Varnishes,,,,,,,,
DABUR.NS,Personal Care - Indian,,,,,,,,
GODREJCP.NS,Personal Care - Indian,,,,,,,,
MARICO.NS,Personal Care - Indian,,,,,,,,
COLPAL.NS,Personal Care - Multinational,,,,,,,,
HINDUNILVR.NS,Personal Care - Multinational,,,,,,,,
PIIND.NS,Pesticides / Agrochemicals ,,,,,,,,
UPL.NS,Pesticides / Agrochemicals ,,,,,,,,
GAIL.NS,Petrochemicals,,,,,,,,
ABBOTINDIA.NS,Pharmaceuticals,,,,,,,,
ALKEM.NS,Pharmaceuticals,,,,,,,,
AUROPHARMA.NS,Pharmaceuticals,,,,,,,,
BIOCON.NS,Pharmaceuticals,,,,,,,,
CIPLA.NS,Pharmaceuticals,,,,,,,,
DIVISLAB.NS,Pharmaceuticals,,,,,,,,
DRREDDY.NS,Pharmaceuticals,,,,,,,,
GLENMARK.NS,Pharmaceuticals,,,,,,,,
GRANULES.NS,Pharmaceuticals,,,,,,,,
IPCALAB.NS,Pharmaceuticals,,,,,,,,
LAURUSLABS.NS,Pharmaceuticals,,,,,,,,
LUPIN.NS,Pharmaceuticals,,,,,,,,
SUNPHARMA.NS,Pharmaceuticals,,,,,,,,
SYNGENE.NS,Pharmaceuticals,,,,,,,,
TORNTPHARM.NS,Pharmaceuticals,,,,,,,,
ZYDUSLIFE.NS,Pharmaceuticals,,,,,,,,
ASTRAL.NS,Plastics Products,,,,,,,,
ADANIPORTS.NS,Ports & Shipping Maritime Logistics,,,,,,,,
NTPC.NS,Power Generation And Supply,,,,,,,,
POWERGRID.NS,Power Generation And Supply,,,,,,,,
TATAPOWER.NS,Power Generation And Supply,,,,,,,,
BPCL.NS,Refineries,,,,,,,,
HINDPETRO.NS,Refineries,,,,,,,,
IOC.NS,Refineries,,,,,,,,
RELIANCE.NS,Refineries,,,,,,,,
JINDALSTEL.NS,Steel ,,,,,,,,
JSWSTEEL.NS,Steel ,,,,,,,,
SAIL.NS,Steel ,,,,,,,,
TATASTEEL.NS,Steel ,,,,,,,,
BALRAMCHIN.NS,Sugar,,,,,,,,
TATACONSUM.NS,Tea,,,,,,,,
BHARTIARTL.NS,Telecommunications - Service Provider,,,,,,,,
INDUSTOWER.NS,Telecommunications - Service Provider,,,,,,,,
ABFRL.NS,Textiles ,,,,,,,,
GRASIM.NS,Textiles ,,,,,,,,
PAGEIND.NS,Textiles ,,,,,,,,
ADANIENT.NS,Trading,,,,,,,,
RAIN.NS,Trading,,,,,,,,
TRENT.NS,Trading,,,,,,,,
INDIGO.NS,Transport - Airlines,,,,,,,,
APOLLOTYRE.NS,Tyres,,,,,,,,
BALKRISIND.NS,Tyres,,,,,,,,
MRF.NS,Tyres,,,,,,,,
